query,horizon,brier_score,log_loss,calibration_error,n_samples
above_120343,1,0.0,9.992007221626413e-16,0.0,1993
above_120343,5,0.0,9.992007221626413e-16,0.0,1993
above_120343,10,0.0,9.992007221626413e-16,0.0,1993
above_120343,20,1.4206723532363272e-05,0.00010731577404019758,9.934771700953335e-05,1993
above_120941,1,0.0,9.992007221626413e-16,0.0,1993
above_120941,5,0.0,9.992007221626413e-16,0.0,1993
above_120941,10,0.0,9.992007221626413e-16,0.0,1993
above_120941,20,0.0,9.992007221626413e-16,0.0,1993
below_119145,1,0.027091621675865526,0.4439815745809339,0.02292724535875568,1993
below_119145,5,0.03851148770697441,0.7930458122666079,0.023398394380331138,1993
below_119145,10,0.04929991620672353,0.7204708390399504,0.029641244355243193,1993
below_119145,20,0.07800834019066732,1.2281880928928377,0.052927245358755655,1993
below_118547,1,0.07113641545408932,0.6077122654566395,0.06862619167084799,1993
below_118547,5,0.055458678374310094,0.38511627561457,0.05375815353738084,1993
below_118547,10,0.0649281821374812,1.187888482128707,0.047435524335173104,1993
below_118547,20,0.08890068088309082,1.8662329438890137,0.0448745609633718,1993
between_119505_119984,1,0.02063769744104365,0.37622691128812824,0.012119919719016554,1993
between_119505_119984,5,0.028500398896136477,0.5752291717535963,0.019040140491721022,1993
between_119505_119984,10,0.039733490215755146,1.1478927968501553,0.017229302558956345,1993
between_119505_119984,20,0.05708497390868038,1.530418025486832,0.02762619167084797,1993
