timestamp,horizon_1,horizon_2,horizon_5,horizon_10,horizon_20
2025-07-16 08:57:00,118808.02717406822,118803.26760554746,118786.16413270927,118776.102574703,118788.24108329807
2025-07-16 08:58:00,118808.02717406822,118803.26760554746,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 08:59:00,118808.02717406822,118803.26760554746,118786.16413270927,118776.102574703,118788.24108329807
2025-07-16 09:00:00,118808.02717406822,118816.67794748094,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 09:01:00,118808.02717406822,118816.67794748094,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 09:02:00,118808.02717406822,118816.67794748094,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 09:03:00,118808.02717406822,118816.67794748094,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 09:04:00,118808.02717406822,118816.67794748094,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 09:05:00,118808.02717406822,118816.67794748094,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 09:06:00,118808.02717406822,118816.67794748094,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 09:07:00,118808.02717406822,118816.67794748094,118786.16413270927,118814.41309373133,118788.24108329807
2025-07-16 09:08:00,118865.09331352451,118834.46270514825,118830.80486698925,118859.010428301,118788.24108329807
2025-07-16 09:09:00,118946.11166180654,118927.07021421299,118830.80486698925,118924.55763508356,118788.24108329807
2025-07-16 09:10:00,119036.69672721575,118983.12942467813,119005.1846433815,119001.48924561407,118788.24108329807
2025-07-16 09:11:00,119073.76516964285,119076.18946280038,119088.46904140044,119064.50235554662,119047.10009336023
2025-07-16 09:12:00,119073.76516964285,119076.18946280038,119088.46904140044,119064.50235554662,119047.10009336023
2025-07-16 09:13:00,119088.97075671637,119076.18946280038,119088.46904140044,119064.50235554662,119077.03647463495
2025-07-16 09:14:00,119088.97075671637,119076.18946280038,119088.46904140044,119064.50235554662,119077.03647463495
2025-07-16 09:15:00,119088.97075671637,119076.18946280038,119088.46904140044,119064.50235554662,119077.03647463495
2025-07-16 09:16:00,119088.97075671637,119076.18946280038,119088.46904140044,119064.50235554662,119077.03647463495
2025-07-16 09:17:00,119073.76516964285,119076.18946280038,119088.46904140044,119064.50235554662,119158.24088680846
2025-07-16 09:18:00,119088.97075671637,119076.18946280038,119088.46904140044,119064.50235554662,119077.03647463495
2025-07-16 09:19:00,119088.97075671637,119076.18946280038,119088.46904140044,119064.50235554662,119077.03647463495
2025-07-16 09:20:00,119172.97558045523,119109.8146437586,119188.86691298241,119248.85697275495,119077.03647463495
2025-07-16 09:21:00,119088.97075671637,119076.18946280038,119088.46904140044,119248.85697275495,119077.03647463495
2025-07-16 09:22:00,119088.97075671637,119076.18946280038,119132.88945529067,119194.30519358085,119077.03647463495
2025-07-16 09:23:00,119088.97075671637,119119.19904754352,119132.88945529067,119248.85697275495,119184.67820543938
2025-07-16 09:24:00,119088.97075671637,119076.18946280038,119088.46904140044,119127.6585674465,119077.03647463495
2025-07-16 09:25:00,119088.97075671637,119076.18946280038,119088.46904140044,119194.30519358085,119077.03647463495
2025-07-16 09:26:00,119148.21883266732,119138.21291940991,119241.80929713904,119248.85697275495,119142.09545945121
