timestamp,horizon_1,horizon_2,horizon_5,horizon_10,horizon_20
2025-07-16 08:57:00,118785.41414395426,118773.46971414136,118760.58075341895,118745.73571786369,118746.78650081104
2025-07-16 08:58:00,118785.41414395426,118773.46971414136,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 08:59:00,118785.41414395426,118773.46971414136,118760.58075341895,118745.73571786369,118746.78650081104
2025-07-16 09:00:00,118785.41414395426,118789.57017904827,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 09:01:00,118785.41414395426,118789.57017904827,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 09:02:00,118785.41414395426,118789.57017904827,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 09:03:00,118785.41414395426,118789.57017904827,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 09:04:00,118785.41414395426,118789.57017904827,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 09:05:00,118785.41414395426,118789.57017904827,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 09:06:00,118785.41414395426,118789.57017904827,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 09:07:00,118785.41414395426,118789.57017904827,118760.58075341895,118776.66418054402,118746.78650081104
2025-07-16 09:08:00,118814.62295995244,118806.32449197082,118770.70745444178,118801.83628029462,118746.78650081104
2025-07-16 09:09:00,118847.75987429646,118819.05334656492,118770.70745444178,118816.02040862356,118746.78650081104
2025-07-16 09:10:00,118960.36888564129,118838.98638141311,118978.34323631212,118952.11965195193,118746.78650081104
2025-07-16 09:11:00,119067.57211205462,119026.45496676955,119021.63466446567,119010.99385174425,118957.23892565357
2025-07-16 09:12:00,119067.57211205462,119042.20760443772,119042.65243857031,119010.99385174425,118957.23892565357
2025-07-16 09:13:00,119070.16803040712,119043.9584235402,119058.26365924583,119010.99385174425,119026.22559857693
2025-07-16 09:14:00,119070.16803040712,119043.9584235402,119058.26365924583,119010.99385174425,119026.22559857693
2025-07-16 09:15:00,119070.16803040712,119043.9584235402,119058.26365924583,119010.99385174425,119026.22559857693
2025-07-16 09:16:00,119070.16803040712,119043.9584235402,119042.65243857031,119010.99385174425,119026.22559857693
2025-07-16 09:17:00,119067.57211205462,119042.20760443772,119042.65243857031,119010.99385174425,118957.23892565357
